;graph_ID;p;mean_ran;std_ran;mean_strat;std_strat;robustness_Nie;robustness_Ros
0;0;0.0;0.5509375;0.3349176370299868;0.321471;0.3000718916509842;1.0;0.2294665
1;0;0.1;0.544446;0.3330585970726473;0.3298735;0.3030740346808845;0.9195607584940404;0.2145725
2;0;0.2;0.5580784999999999;0.3298389824410541;0.357548;0.3083214048618746;0.8609534164492266;0.20053049999999994
3;0;0.30000000000000004;0.55161;0.3357212845501459;0.37943899999999997;0.3124728520671836;0.806408922202991;0.17217100000000002
4;0;0.4;0.5314260000000001;0.33367907714449224;0.421929;0.3153410343723125;0.7552544706163138;0.10949700000000008
5;0;0.5;0.5292705;0.3323204738347459;0.4273415;0.31906910987707665;0.7285665333662007;0.101929
6;0;0.6000000000000001;0.54645;0.32882064336048;0.450282;0.32755189432515874;0.6367908714641113;0.09616800000000003
7;0;0.7000000000000001;0.5515770000000001;0.3272309323260868;0.47703450000000003;0.33147997723806794;0.6177937183272392;0.07454250000000001
8;0;0.8;0.5494070000000001;0.32890058885778845;0.5104215;0.3303762019845709;0.5825165328382732;0.03898550000000012
9;1;0.0;0.5578434999999999;0.3399777125162031;0.32967250000000003;0.30504759012939275;1.0;0.2281709999999999
10;1;0.1;0.563666;0.3383264081386494;0.3702105;0.310590888774526;0.9103313850717948;0.1934555
11;1;0.2;0.5436865000000001;0.33551911155364905;0.3648125;0.3101051278901237;0.8627797922173209;0.1788740000000001
12;1;0.30000000000000004;0.5731554999999999;0.32995077863182865;0.398549;0.3239364993312732;0.8174546011146642;0.17460649999999994
13;1;0.4;0.5678964999999999;0.3308531755745289;0.435701;0.3263994356597449;0.7676010454733139;0.1321954999999999
14;1;0.5;0.5491015;0.3371966728746741;0.4410875;0.32330715711804153;0.7096677205181965;0.10801400000000004
15;1;0.6000000000000001;0.569155;0.3285351320254807;0.439586;0.3254298996773345;0.695394339004464;0.12956899999999993
16;1;0.7000000000000001;0.566948;0.3341925781581632;0.511616;0.33076295521717664;0.6131690975415685;0.05533200000000005
17;1;0.8;0.5502175;0.3391444473874665;0.5258400000000001;0.33669290221209003;0.5252458982266796;0.02437749999999994
18;2;0.0;0.5230404999999999;0.3356808750282774;0.32575400000000004;0.29898479139247197;1.0;0.19728649999999984
19;2;0.1;0.5325019999999999;0.334764060191652;0.328614;0.3022507932231113;0.9068028268382652;0.203888
20;2;0.2;0.515764;0.3381991592301791;0.3486645;0.3077512809717451;0.8415332914860222;0.16709949999999998
21;2;0.30000000000000004;0.5336569999999999;0.33548996162478545;0.36914;0.31513517321936635;0.7962933236477872;0.16451700000000008
22;2;0.4;0.5416844999999999;0.33384587156313617;0.3854485;0.3161837272026345;0.771310958232122;0.15623599999999987
23;2;0.5;0.539347;0.3357675946112132;0.4204435;0.3266387206192033;0.6801774098578929;0.11890350000000005
24;2;0.6000000000000001;0.5349535;0.3313795427266898;0.452294;0.3276152920179399;0.6584998494292814;0.0826595
25;2;0.7000000000000001;0.5149585;0.33485391707093703;0.4497645000000001;0.3296266798057311;0.5864801081801568;0.06519399999999997
26;2;0.8;0.5281024999999999;0.3364662241499881;0.49998;0.3270961702618971;0.5484330877568802;0.028122499999999884
27;3;0.0;0.5512085;0.3185655961144423;0.3069965;0.2906241773971154;1.0;0.244212
28;3;0.1;0.5225380000000001;0.3325564787460921;0.3288735;0.2985758622155348;0.9075671733969825;0.19366450000000007
29;3;0.2;0.5378470000000001;0.33108346015921725;0.3486715;0.3046962611975244;0.8535906006635747;0.18917550000000002
30;3;0.30000000000000004;0.5521010000000001;0.3275596324320199;0.3715855;0.31020626636119075;0.8057752492152075;0.18051549999999994
31;3;0.4;0.5241935000000001;0.33685671146312346;0.383504;0.3129971581085042;0.7709239795118269;0.14068949999999994
32;3;0.5;0.5401325;0.3308167981583614;0.4000345;0.3184323025538552;0.7025787068844411;0.14009800000000006
33;3;0.6000000000000001;0.5365415;0.3319480490645336;0.416523;0.3232635990503725;0.657783446230875;0.12001849999999994
34;3;0.7000000000000001;0.5198205;0.3308413989810676;0.449076;0.3270102157792628;0.6194786444519745;0.07074449999999999
35;3;0.8;0.5521484999999999;0.32887555465213586;0.501546;0.3328124770557739;0.5074201561662568;0.0506025
36;4;0.0;0.546241;0.33797535253180816;0.300284;0.29368092608135105;1.0;0.245957
37;4;0.1;0.5364289999999999;0.3401639912733269;0.338412;0.30447664812921194;0.8986222179690879;0.19801699999999994
38;4;0.2;0.5450315;0.33678513849003194;0.356875;0.30721211788437;0.8527111379766396;0.1881565
39;4;0.30000000000000004;0.5535454999999999;0.3322724859655852;0.3703775;0.31240806646716085;0.8143751018047115;0.18316799999999994
40;4;0.4;0.5369955;0.33389315578452644;0.3973035;0.3151384352752771;0.7521299214126456;0.13969199999999998
41;4;0.5;0.563813;0.33234550400298785;0.4181435000000001;0.32382544975302663;0.6936427675259841;0.1456695
42;4;0.6000000000000001;0.5727439999999999;0.3270610179523081;0.4422395000000001;0.32915223095058915;0.6410975639121688;0.13050450000000002
43;4;0.7000000000000001;0.556289;0.3317316965244654;0.4906140000000001;0.32862528509534983;0.5848338163279341;0.06567500000000004
44;4;0.8;0.5353914999999999;0.3374228552243461;0.4920505;0.33614285199859595;0.5475681874206846;0.04334099999999992
45;5;0.0;0.5648865;0.3308131113147573;0.3495435;0.30692723259390003;1.0;0.21534299999999995
46;5;0.1;0.546883;0.3358178350102924;0.372372;0.3114718584655763;0.9151621875134196;0.17451099999999994
47;5;0.2;0.5646639999999999;0.3328476935536733;0.397595;0.3144389511097504;0.8453066831555105;0.1670689999999999
